Cow#,Short Name,Calved,Lact#,Age (mths),Milk PI,Protein PI,Fat PI,Milk,Fat Kg,Fat %,Protein Kg,Protein %,SCC,Cow#_1,DIM,LTD Milk,LTD Protein Kg,LTD Protein %,LTD Fat Kg,LTD Fat %,Tests,Peak SCC,Peak SCC Date,Influence
4900,4900,05/08/2017,2,48,84,84,78,25,0.98,3.91,0.82,3.29,15,4900,68,1595,52,3.26,57,3.57,3,133,15/08/2017,
4901,4901,08/08/2017,2,48,69,80,62,22,0.59,2.68,0.7,3.18,15,4901,65,1178,48,4.07,40,3.4,3,5096,15/08/2017,
4902,4902,03/08/2017,2,48,88,83,86,24,1.04,4.35,0.64,2.68,20,4902,70,1828,58,3.17,70,3.83,3,32,15/08/2017,
4903,4903,01/09/2017,2,48,82,87,91,24,1.09,4.56,0.73,3.03,291,4903,41,932,34,3.65,42,4.51,2,291,12/10/2017,
4905,4905,10/08/2017,2,48,91,99,89,25,0.9,3.6,0.9,3.6,78,4905,63,1749,64,3.66,65,3.72,3,286,12/09/2017,
4906,4906,02/08/2016,1,35,82,86,86,14,0.8,5.68,0.59,4.24,18,4906,436,7987,299,3.74,378,4.73,15,58,08/09/2016,
4908,4908,10/08/2017,2,48,87,92,102,25,1.35,5.39,0.83,3.32,17,4908,63,1461,53,3.63,75,5.13,3,192,15/08/2017,
4910,4910,19/08/2017,2,48,81,81,85,23,0.93,4.04,0.65,2.81,56,4910,54,1242,39,3.14,49,3.95,2,1646,12/09/2017,
4911,4911,22/07/2017,2,47,107,108,91,30,1.08,3.6,1.08,3.6,78,4911,82,2634,88,3.34,92,3.49,3,78,12/10/2017,
4913,4913,23/08/2017,2,48,72,79,81,20,0.81,4.07,0.61,3.06,17,4913,50,1000,34,3.4,42,4.2,2,49,12/09/2017,
4914,4914,11/08/2017,2,47,95,94,79,27,0.82,3.04,0.82,3.04,61,4914,62,1700,57,3.35,56,3.29,3,1201,15/08/2017,
4916,4916,07/08/2017,2,47,69,71,78,19,0.92,4.83,0.59,3.09,102,4916,66,1274,41,3.22,55,4.32,3,176,15/08/2017,
4917,4917,21/08/2017,2,48,95,93,93,26,1.1,4.24,0.77,2.97,50,4917,52,1648,52,3.16,55,3.34,2,50,12/10/2017,
4918,4918,28/08/2017,2,48,74,82,86,21,0.99,4.71,0.64,3.06,12,4918,45,1185,41,3.46,51,4.3,2,26,12/09/2017,
4921,4921,04/08/2017,2,47,89,87,93,25,1.16,4.65,0.72,2.88,65,4921,69,1820,59,3.24,77,4.23,3,138,15/08/2017,
4922,4922,08/08/2017,2,47,92,88,105,26,1.19,4.58,0.77,2.98,30,4922,65,1767,56,3.17,88,4.98,3,187,15/08/2017,
4923,4923,22/08/2017,2,48,79,85,81,25,0.89,3.54,0.8,3.2,34,4923,51,1167,39,3.34,42,3.6,2,35,12/09/2017,
4924,4924,04/08/2017,2,47,80,85,86,24,1.05,4.37,0.75,3.14,77,4924,69,1514,56,3.7,67,4.43,3,2450,15/08/2017,
4925,4925,04/08/2017,2,47,101,105,98,31,1.25,4.03,1.05,3.38,34,4925,69,1989,73,3.67,81,4.07,3,40,15/08/2017,
